clip_index,ID,Day,Group,time_point,clip_filename,source_video,start_frame,stop_frame,n_frames,start_time_s,stop_time_s,duration_s,fps,source_csv,x_split
1,SC09,6,SNr-DTA,t1,SC09_training_day10_clip001_t1_f64-114.mp4,SC09_training_day10.avi,64,114,51,2.1333,3.8,1.6667,30.0,SC09_training_day10_clips.csv,6
2,SC09,6,SNr-DTA,t2,SC09_training_day10_clip002_t2_f115-205.mp4,SC09_training_day10.avi,115,205,91,3.8333,6.8333,3.0,30.0,SC09_training_day10_clips.csv,6
3,SC09,6,SNr-DTA,t1,SC09_training_day10_clip003_t1_f1275-1313.mp4,SC09_training_day10.avi,1275,1313,39,42.5,43.7666,1.2667,30.0,SC09_training_day10_clips.csv,6
4,SC09,6,SNr-DTA,t2,SC09_training_day10_clip004_t2_f1314-1374.mp4,SC09_training_day10.avi,1314,1374,61,43.8,45.8,2.0,30.0,SC09_training_day10_clips.csv,6
5,SC09,6,SNr-DTA,t1,SC09_training_day10_clip005_t1_f3125-3175.mp4,SC09_training_day10.avi,3125,3175,51,104.1666,105.8332,1.6667,30.0,SC09_training_day10_clips.csv,6
6,SC09,6,SNr-DTA,t2,SC09_training_day10_clip006_t2_f3176-3316.mp4,SC09_training_day10.avi,3176,3316,141,105.8666,110.5332,4.6667,30.0,SC09_training_day10_clips.csv,6
7,SC09,6,SNr-DTA,t1,SC09_training_day10_clip007_t1_f4240-4282.mp4,SC09_training_day10.avi,4240,4282,43,141.3332,142.7332,1.4,30.0,SC09_training_day10_clips.csv,6
8,SC09,6,SNr-DTA,t2,SC09_training_day10_clip008_t2_f4283-4353.mp4,SC09_training_day10.avi,4283,4353,71,142.7665,145.0999,2.3333,30.0,SC09_training_day10_clips.csv,6
9,SC09,6,SNr-DTA,t1,SC09_training_day10_clip009_t1_f5583-5633.mp4,SC09_training_day10.avi,5583,5633,51,186.0998,187.7665,1.6667,30.0,SC09_training_day10_clips.csv,6
10,SC09,6,SNr-DTA,t2,SC09_training_day10_clip010_t2_f5634-5694.mp4,SC09_training_day10.avi,5634,5694,61,187.7998,189.7998,2.0,30.0,SC09_training_day10_clips.csv,6
1,SC09,1,SNr-DTA,t1,SC09_training_day5_fixed_clip001_t1_f187-247.mp4,SC09_training_day5_fixed.avi,187,247,61,6.2333,8.2333,2.0,30.0,SC09_training_day5_fixed_clips.csv,1
2,SC09,1,SNr-DTA,t2,SC09_training_day5_fixed_clip002_t2_f251-331.mp4,SC09_training_day5_fixed.avi,251,331,81,8.3667,11.0333,2.6667,30.0,SC09_training_day5_fixed_clips.csv,1
3,SC09,1,SNr-DTA,t1,SC09_training_day5_fixed_clip003_t1_f1351-1421.mp4,SC09_training_day5_fixed.avi,1351,1421,71,45.0333,47.3666,2.3333,30.0,SC09_training_day5_fixed_clips.csv,1
4,SC09,1,SNr-DTA,t2,SC09_training_day5_fixed_clip004_t2_f1423-1463.mp4,SC09_training_day5_fixed.avi,1423,1463,41,47.4333,48.7666,1.3333,30.0,SC09_training_day5_fixed_clips.csv,1
5,SC09,1,SNr-DTA,t2,SC09_training_day5_fixed_clip005_t2_f2820-2872.mp4,SC09_training_day5_fixed.avi,2820,2872,53,93.9999,95.7332,1.7333,30.0,SC09_training_day5_fixed_clips.csv,1
6,SC09,1,SNr-DTA,t1,SC09_training_day5_fixed_clip006_t1_f2776-2822.mp4,SC09_training_day5_fixed.avi,2776,2822,47,92.5332,94.0666,1.5333,30.0,SC09_training_day5_fixed_clips.csv,1
7,SC09,1,SNr-DTA,t1,SC09_training_day5_fixed_clip007_t1_f3979-4013.mp4,SC09_training_day5_fixed.avi,3979,4013,35,132.6332,133.7665,1.1333,30.0,SC09_training_day5_fixed_clips.csv,1
8,SC09,1,SNr-DTA,t2,SC09_training_day5_fixed_clip008_t2_f4015-4054.mp4,SC09_training_day5_fixed.avi,4015,4054,40,133.8332,135.1332,1.3,30.0,SC09_training_day5_fixed_clips.csv,1
