clip_index,ID,Day,Group,time_point,clip_filename,source_video,start_frame,stop_frame,n_frames,start_time_s,stop_time_s,duration_s,fps,source_csv,x_split
1,JC05,6,Ctrl,t1,JC05_training_day10_clip001_t1_f85-127.mp4,JC05_training_day10.avi,85,127,43.0,2.8333,4.2333,1.4,30.0,JC05_training_day10_clips.csv,6
2,JC05,6,Ctrl,t2,JC05_training_day10_clip002_t2_f128-258.mp4,JC05_training_day10.avi,128,258,131.0,4.2667,8.6,4.3333,30.0,JC05_training_day10_clips.csv,6
3,JC05,6,Ctrl,t1,JC05_training_day10_clip003_t1_f634-684.mp4,JC05_training_day10.avi,634,684,51.0,21.1333,22.8,1.6667,30.0,JC05_training_day10_clips.csv,6
4,JC05,6,Ctrl,t2,JC05_training_day10_clip004_t2_f685-775.mp4,JC05_training_day10.avi,685,775,91.0,22.8333,25.8333,3.0,30.0,JC05_training_day10_clips.csv,6
5,JC05,6,Ctrl,t1,JC05_training_day10_clip005_t1_f1166-1216.mp4,JC05_training_day10.avi,1166,1216,51.0,38.8666,40.5333,1.6667,30.0,JC05_training_day10_clips.csv,6
6,JC05,6,Ctrl,t2,JC05_training_day10_clip006_t2_f1217-1297.mp4,JC05_training_day10.avi,1217,1297,81.0,40.5666,43.2333,2.6667,30.0,JC05_training_day10_clips.csv,6
7,JC05,6,Ctrl,t1,JC05_training_day10_clip007_t1_f1680-1717.mp4,JC05_training_day10.avi,1680,1717,38.0,55.9999,57.2333,1.2333,30.0,JC05_training_day10_clips.csv,6
8,JC05,6,Ctrl,t2,JC05_training_day10_clip008_t2_f1718-1768.mp4,JC05_training_day10.avi,1718,1768,51.0,57.2666,58.9333,1.6667,30.0,JC05_training_day10_clips.csv,6
9,JC05,6,Ctrl,t1,JC05_training_day10_clip009_t1_f2153-2185.mp4,JC05_training_day10.avi,2153,2185,33.0,71.7666,72.8333,1.0667,30.0,JC05_training_day10_clips.csv,6
10,JC05,6,Ctrl,t2,JC05_training_day10_clip010_t2_f2186-2236.mp4,JC05_training_day10.avi,2186,2236,51.0,72.8666,74.5333,1.6667,30.0,JC05_training_day10_clips.csv,6
1,JC05,1,Ctrl,t1,JC05_training_day5_clip001_t1_f150-230.mp4,JC05_training_day5.avi,150,230,81.0,5.0,7.6667,2.6667,30.0,JC05_training_day5_clips.csv,1
2,JC05,1,Ctrl,t2,JC05_training_day5_clip002_t2_f231-291.mp4,JC05_training_day5.avi,231,291,61.0,7.7,9.7,2.0,30.0,JC05_training_day5_clips.csv,1
3,JC05,1,Ctrl,t1,JC05_training_day5_clip003_t1_f1076-1146.mp4,JC05_training_day5.avi,1076,1146,71.0,35.8666,38.2,2.3333,30.0,JC05_training_day5_clips.csv,1
4,JC05,1,Ctrl,t2,JC05_training_day5_clip004_t2_f1820-1860.mp4,JC05_training_day5.avi,1820,1860,41.0,60.6666,61.9999,1.3333,30.0,JC05_training_day5_clips.csv,1
5,JC05,1,Ctrl,t1,JC05_training_day5_clip005_t1_f2188-2238.mp4,JC05_training_day5.avi,2188,2238,51.0,72.9333,74.5999,1.6667,30.0,JC05_training_day5_clips.csv,1
